CODE;LIBELLE;LIBELLE COMMERCIALE;LIBELLE ETENDUE;EAN13;PCB;UNITE PRIX;UNITE COMMANDE;CATEGORIE SITE;CATEGORIE SITE PRODUCTION;ID
95365B;Gateau Patate;Gateau Patate;Gateau Patate;;6;EURO;U;ACH;3;1
00000A;Salade Caesar;Salade Caesar;Salade Caesar;;1;EURO;U;VTE;3;
